"AcceptedTaxonID","CommonName","Transliteration","Language","Country","Area","ReferenceID"
22954,"Carapau",,"Creole, Portuguese","ST","Sao Tome Prn",34088
22954,"Carapau preto",,"Portuguese","MZ","Mozambique",5213
22954,"Carapau-preto",,"Portuguese","AO","Angola",3166
22954,"Cataco",,"Spanish","VE","Venezuela",3277
22954,"Cataco ojón",,"Spanish","VE","Venezuela",51848
22954,"Chamban",,"Malayalam","IN","India",47699
22954,"Charrito ojón",,"Spanish","MX","Mexico",52299
22954,"Charro preto",,"Portuguese","CV","Cape Verde",37413
22954,"Charro-preto",,"Portuguese","AO","Angola",3166
22954,"Charro-preto",,"Portuguese","CV","Cape Verde",27000
22954,"Charro-preto",,"Portuguese","PT","Portugal",26388
22954,"Chicharo",,"Spanish","CV","Cape Verde",7193
22954,"Chicharra",,"Spanish","CO","Colombia",26235
22954,"Chicharro",,"Portuguese","BR","Brazil",54972
22954,"Chicharro",,"Creole, Portuguese","CV","Cape Verde",37413
22954,"Chicharro",,"English","CU","Cuba",35205
22954,"Chicharro",,"Spanish","CU","Cuba",26340
22954,"Chicharro",,"Spanish","DO","Dominican Rp",26235
22954,"Chicharro",,"English","GP","Guadeloupe",35205
22954,"Chicharro",,"English","MQ","Martinique",35205
22954,"Chicharro",,"Spanish","MX","Mexico",3277
22954,"Chicharro",,"English","PR","Puerto Rico",35205
22954,"Chicharro",,"Spanish","PR","Puerto Rico",26235
22954,"Chicharro",,"English","VE","Venezuela",35205
22954,"Chicharro",,"Spanish","VE","Venezuela",26235
22954,"Chicharro común",,"Spanish","DO","Dominican Rp",26235
22954,"Chicharro ojon",,"Spanish","CV","Cape Verde",37413
22954,"Chicharro ojon",,"Spanish","NI","Nicaragua",13613
22954,"Chicharro ojón",,"Spanish","CO","Colombia",3277
22954,"Chicharro ojón",,"Spanish","MX","Mexico",27736
22954,"Chicharro ojón",,"Spanish","ES","Spain",82178
22954,"Chicharro ojõn",,"Spanish","MZ","Mozambique",5284
22954,"Chicharro ojotón",,"Spanish","MX","Mexico",37955
22954,"Chicharro olho-grande",,"Portuguese","BR","Brazil",42063
22954,"Chicharro-olho-grande",,"Portuguese","BR","Brazil",42063
22954,"Chicharro-preto",,"Portuguese","AO","Angola",3166
22954,"Chinchard",,"French","PF","Fr Polynesia",4795
22954,"Chinchard",,"French","SN","Senegal",30556
22954,"Chinchard",,"French","TG","Togo",52868
22954,"Chinchard à gros yeux",,"French","SN","Senegal",30556
22954,"Chooparai",,"Tamil","IN","India",6867
22954,"Cobeo",,"Spanish","PR","Puerto Rico",26235
22954,"Cocinero",,"Spanish","GT","Guatemala",3277
22954,"Cojinoa",,"Spanish","PA","Panama",3277
22954,"Cojinua",,"Spanish","PA","Panama",3277
22954,"Couléhou",,"French","HT","Haiti",26235
22954,"Coulihou",,"French","AG","Antigua Barb",35205
22954,"Coulihou",,"French","BS","Bahamas",35205
22954,"Coulihou",,"French","BB","Barbados",35205
22954,"Coulihou",,"French","GD","Grenada",35205
22954,"Coulihou",,"French","GP","Guadeloupe",35205
22954,"Coulihou",,"French","JM","Jamaica",35205
22954,"Coulihou",,"French","MQ","Martinique",35205
22954,"Coulihou",,"French","MS","Montserrat",35205
22954,"Coulihou",,"French","KN","St Kitts Nev",35205
22954,"Coulihou",,"French","AI","Anguilla",35205
22954,"Coulihou",,"French","LC","Saint Lucia",35205
22954,"Coulihou",,"French","VC","St Vincent",35205
22954,"Coulihou",,"French","TT","Trinidad Tob",35205
22954,"Coulirou",,"French","AG","Antigua Barb",35205
22954,"Coulirou",,"French","BB","Barbados",35205
22954,"Coulirou",,"French","GD","Grenada",35205
22954,"Coulirou",,"French","GP","Guadeloupe",35205
22954,"Coulirou",,"French","JM","Jamaica",35205
22954,"Coulirou",,"French","MQ","Martinique",35205
22954,"Coulirou",,"French","MS","Montserrat",35205
22954,"Coulirou",,"French","KN","St Kitts Nev",35205
22954,"Coulirou",,"French","AI","Anguilla",35205
22954,"Coulirou",,"French","LC","Saint Lucia",35205
22954,"Coulirou",,"French","VC","St Vincent",35205
22954,"Coulirou",,"French","TT","Trinidad Tob",35205
22954,"Coulisou",,"French","GF","Fr Guiana",3277
22954,"Coulisou",,"Creole, French","MQ","Martinique",3277
22954,"Coulouhou",,"French","HT","Haiti",26235
22954,"Dà mù",,"Mandarin Chinese","CN","China Main",11230
22954,"Derdaman",,"Arabic","QA","Qatar",6365
22954,"Ettou",,"Marshallese","MH","Marshall Is",28989
22954,"Fouadroudrou",,"Komoro","KM","Comoros",11888
22954,"Gangu",,"Papiamento","AN","NethAntilles",35205
22954,"Garajuba",,"Portuguese","BR","Brazil",38265
22954,"Garapau",,"Portuguese","BR","Brazil",38265
22954,"Ge kou",,"Mandarin Chinese","CN","China Main",11230
