"AcceptedTaxonID","Distribution","StandardInUse","DistributionStatus"
22954,"KY","ISO2Alpha","native"
22954,"LC","ISO2Alpha","native"
22954,"LK","ISO2Alpha","native"
22954,"LR","ISO2Alpha","native"
22954,"MG","ISO2Alpha","native"
22954,"MH","ISO2Alpha","native"
22954,"MM","ISO2Alpha","native"
22954,"MP","ISO2Alpha","native"
22954,"MQ","ISO2Alpha","native"
22954,"MS","ISO2Alpha","native"
22954,"MU","ISO2Alpha","native"
22954,"MV","ISO2Alpha","native"
22954,"MX","ISO2Alpha","native"
22954,"MY","ISO2Alpha","native"
22954,"MZ","ISO2Alpha","native"
22954,"NC","ISO2Alpha","native"
22954,"NG","ISO2Alpha","native"
22954,"NI","ISO2Alpha","native"
22954,"NU","ISO2Alpha","native"
22954,"OM","ISO2Alpha","native"
22954,"PA","ISO2Alpha","native"
22954,"PE","ISO2Alpha","native"
22954,"PF","ISO2Alpha","native"
22954,"PG","ISO2Alpha","native"
22954,"PH","ISO2Alpha","native"
22954,"PK","ISO2Alpha","native"
22954,"PR","ISO2Alpha","native"
22954,"PW","ISO2Alpha","native"
22954,"QA","ISO2Alpha","native"
22954,"RE","ISO2Alpha","native"
22954,"SA","ISO2Alpha","native"
22954,"SB","ISO2Alpha","native"
22954,"SC","ISO2Alpha","native"
22954,"SD","ISO2Alpha","native"
22954,"SG","ISO2Alpha","native"
22954,"SH","ISO2Alpha","native"
22954,"SL","ISO2Alpha","native"
22954,"SN","ISO2Alpha","native"
22954,"SO","ISO2Alpha","native"
22954,"SR","ISO2Alpha","native"
22954,"ST","ISO2Alpha","native"
22954,"SV","ISO2Alpha","native"
22954,"TC","ISO2Alpha","native"
22954,"TG","ISO2Alpha","native"
22954,"TH","ISO2Alpha","native"
22954,"TK","ISO2Alpha","native"
22954,"TO","ISO2Alpha","native"
22954,"TT","ISO2Alpha","native"
22954,"TV","ISO2Alpha","native"
22954,"TW","ISO2Alpha","native"
22954,"TZ","ISO2Alpha","native"
22954,"US","ISO2Alpha","native"
22954,"VC","ISO2Alpha","native"
22954,"VE","ISO2Alpha","native"
22954,"VG","ISO2Alpha","native"
22954,"VI","ISO2Alpha","native"
22954,"VN","ISO2Alpha","native"
22954,"VU","ISO2Alpha","native"
22954,"WF","ISO2Alpha","native"
22954,"WS","ISO2Alpha","native"
22954,"YE","ISO2Alpha","native"
22954,"ZA","ISO2Alpha","native"
23106,"AG","ISO2Alpha","native"
23106,"AI","ISO2Alpha","native"
23106,"AS","ISO2Alpha","native"
23106,"AU","ISO2Alpha","native"
23106,"AW","ISO2Alpha","native"
23106,"BB","ISO2Alpha","native"
23106,"BM","ISO2Alpha","native"
23106,"BR","ISO2Alpha","native"
23106,"BS","ISO2Alpha","native"
23106,"BZ","ISO2Alpha","native"
23106,"CA","ISO2Alpha","native"
23106,"CC","ISO2Alpha","native"
23106,"CK","ISO2Alpha","native"
23106,"CO","ISO2Alpha","native"
23106,"CR","ISO2Alpha","native"
